person_id,political_party,source,location,purpose,items_paid_or_provided
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"Univ of Michigan Law School, Ann Arbor, MI","Ann Arbor, MI",Speech,"Rooms, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"Innocence Project Conference, Atlanta, GA","Atlanta, Georgia",Speech,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation."
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY, and Philadelphis Bar AssocisGon",,,"Philadelphia, PA. Room, meals, transportation (incl. § Speaker and conference participant at JTBF judges conference. Song"
975,d,U.S. Courts.,,,"6/15-6-18. Transportation, meals, room, Circuit Judicial Conference in Hot Springs, VA. EE "
975,d,Nationat Empjoyment Law Court,,,"4728430. Atlanta, OA, Trac=pora¥on, meels, room. Speaker Employruem Council Avwzl Conference. = sen Lam"
975,d,"University of Mississippi Law School, Oxford, Miss",,,"225-2727. Oxford, MS. Transportation, meals, lodging. Guest Lecturer at Public Forum."
975,d,"Washington Univ. School of Law in St. Louis, MO",,,"2/17-2/19. St. Louis, MO. Transportation, meals, lodging. Tyrell Williams Lecturer"
975,d,"University of Michigan Law School, Ann Ardor, MI",,,"Ann Arbor, ML Frangportaiion, meals, lodging. Keynote eddress at African Araesican Hmitage Program."
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation."
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"Ity School of Law, Durham NC",,,arian Zinio Sienna a
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation."
975,d,"NYU Law School, New York. NY",New York City,Teaching,"Room, meals, transportation."
975,d,"NYU Law School, New York. NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York. NY",New York City,Teaching,"Room, meals, transportation"
975,d,"Sciences, Forensic Science Committee",,,
975,d,"NYU Law School, New York, NY",,,"New York, NY"
975,d,"NYU Law School, New York, NY",,,"New York, NY"
975,d,"NYU Law School, New York, NY",,,"New York, NY"
975,d,"NYU Law School, New York, NY",,,"New York, NY"
975,d,"NYU Law School, New York, NY",,,"New York, NY"
975,d,"NYU Law School, New York, NY",,,"New York, NY"
975,d,"NYU Law School, New York, NY",,,"New York, NY"
975,d,"NYU Law School, New York, NY",,,"New York, NY"
975,d,"NYU Law School, New York, NY",,,"New York, NY"
975,d,"NYU Law School, New York, NY",,,"New York, NY"
975,d,"NYU Law School, New York, NY",,,"New York, NY"
975,d,American Bar Association,,,"Chicago, IL"
975,d,"NYU Law School, New York, NY",,,"New York, NY"
975,d,Charles Hamiliton Houston Institute,,,
975,d,"NYU Law School, New York, NY",,,New York City
975,d,"NYU Law School, New York, NY",,,New York City
975,d,"NYU Law School, New York, NY",,,New York City
975,d,"NYU Law School, New York, NY",,,New York City
975,d,"NYU Law School, New York, NY",,,New York City
975,d,"NYU Law School, New York, NY",,,New York City
975,d,"NYU Law School, New York, NY",,,New York City
975,d,"NYU Law School, New York, NY",,,New York City
975,d,"NYU Law School, New York. NY",,,New York City
975,d,"Stanford Law School, Palo Alto, CA",,,"2/24-26 - Palo Alto, CA. Room, meals, transportation. Keynote speaker at Black Law Student Conference."
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York. NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York. NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",leaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",l'eaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,Sciences,,"Technology, & Law Meeting",
975,d,"University of California, ) Irvine","Irvine, CA",Dean's Advisory Meeting,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",leaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York. NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New ) York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York. NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,Just the Begining Foundation,"New York, NY",Conference speaker,Meals
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New ; York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York. NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,leaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New © York,NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,leaching,"Room, meals, transportation"
975,d,"NYU Law School, New York. NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New © York,NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,Teaching
975,d,"Umiv of Cal Irvine Law School, Irvine, CA","Irving, CA",Dean's Advisory Committee,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New © York,NY",New York City,leaching,"Room, meals, transportation"
975,d,"NYU Law School, New York. NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New ) York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York. NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"Harvard Law School, Cambridge, MA","Cambridge, MA",Educational conference,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York. NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York. NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York. NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",leaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",l'eaching,"Room, meals, transportation"
975,d,A rr Era Hg Ts TN Sciences,,"Technology, & Law Meeting",
975,d,"University of California, Irvine","Irving, CA",Dean’s Advisory Meeting,"Room, meals, transportation"
975,d,"Umversity of Michigan Law ) School, Ann Arbor, MI","Amn Arbor, MI",Speech,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",leaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York. NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,Oxford Umversity,"Oxford, England",Conference and Speech,"Room, Board, transportation"
975,d,"NYU School of Law, New York. NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New © York,NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New © York,NY","Cambridge, MA",Speech at Harvard Law School,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York. NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New © York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,leaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,leaching,"Room, meals, transportation"
975,d,"Lmv of Cal at Irvine Law School, Irvine, CA",Irvine Calitorma,Conference,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New © York,NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,leaching,"Room, meals, transportation"
975,d,"NYU Law School, New York. NY",New York City,Teaching,"Room, meals, transportation"
975,d,Umiversity of Virginia Law School,"Charlottesville, VA",Speaking,"Room, meals, transportation"
975,d,"NYU Law School, New © York,NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,Teaching
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New © York,NY",New York City,leaching,"Room, meals, transportation"
975,d,"NYU Law School, New York. NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New ) York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York. NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York. NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,leaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"Duke Law School, Raleigh, Durham","Raleigh, Durham",Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New © York,NY",New York City,Teaching,"Room, meals, transportation"
975,d,"Umv of Cal at Irvine Law School, Irvine, CA",Irvine Calitorma,"NYU Law School, New York, NY","Room, meals, transportation"
975,d,"NYU Law School, New York. NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New © York,NY",New York City,Teaching,Teaching
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New © York,NY",New York City,leaching,"Room, meals, transportation"
975,d,"NYU Law School, New York. NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New ) York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York. NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,leaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York. NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"Umv of Cal at Irvine Law School, Irvine, CA","Irvine, Cahiforma",Teaching,"Room, transportation"
975,d,"Univ of Cal at Irvine Law School, Irvine, CA","Irvine, California","Irvine, California","Room, transportation"
975,d,"NYU Law School, New York, NY",New York City,leaching,"Room, meals, transportation"
975,d,"Lmv of Cal at Irvine Law School, Irvine, CA",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New © York,NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,leaching,"Room, meals, transportation"
975,d,"NYU Law School, New York. NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New © York,NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,Teaching
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New © York,NY",New York City,leaching,"Room, meals, transportation"
975,d,"NYU Law School, New York. NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New ) York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York. NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York. NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,leaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,l'eaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY",New York City,Teaching,"Room, meals, transportation"
975,d,"Univ of Cal Irvine Law . School, Irvine, CA","Irvine, CA",Dean's Advisory Committee,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY","New York, NY",Lecture,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New } York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New © York,NY","New York, NY",leaching,"Room, meals, transportation"
975,d,"NYU Law School, New York. NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New © York,NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"UNLV Law School, Las : Vegas, NV","Las Vegas, NV",Letures,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York. NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New © York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU Law School, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York. NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New g York, NY","New York, NY",leaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York. NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New © York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",leaching,"Room, meals, transportation"
975,d,Cans th oat 2 ahaaae or A404 Sciences,,"Technology, & Luw Meeting",rE a TI rT re a ra TT
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New } York, NY","New York, NY",Teachmng,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",l'eaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York. NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York. NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New © York,NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New } York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York. NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New © York, NY","New York, NY",leaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New York, NY","New York, NY",Teaching,"Room, meals, transportation"
975,d,"NYU School of Law, New } York, NY","New York, NY",Teaching,"Room, meals, transportation"
972,r,,Jue Al tm RB RRAELNY,A WEAR NNT Le,AE RAVES JF. FA NRW Se
967,d,GEORGE MASON INSTITUTE,"Captiva Island, FL",Economic Analysis of Law institute,"food, lodging, and reimbursement for auto mileage and tolls"
967,d,GEORGE MASON UNIVERSITY-LAW AND ECONOMICS CENTER,,,"JUNE 26-29 - NEW HAVEN CT - Thueydides - Transportation, Meals, Hotel"
967,d,UNIVERSITY OF GEORGIA SCHOOL OF LAW,"Jacksonville, FL",Moot Court Competition,lodging
967,d,GEORGEMASON UNIVERSITY - LAW & ECONOMICS CENTER,,,"NOV 12-18 KEY WEST, FL - Creation of the American Republic - transportation, lodging, food"
967,d,UNIVERSITY OF GEORGIA SCHOOL OF LAW,,,"OCT 28 -29 - JACKSONVILLE, FL - Hulsey-Kimbrell Moot Court Competition lodging, food"
967,d,UNIVERSITY OF GEORGIA SCHOOL OF LAW,,,"OCT 27 - JACKSONVILLE, FL - Hulsey-Kimbrell Moot Court Competition” - lodging  eee ee  cy"
